time,id,pir_state,t_temp,field1,field2,field3,field4,count
2022-09-15T13:25:10+05:30,1320,1,29,"24.25,23.75,24.25,24.00,23.75,24.00,24.25,23.50,23.50,24.25,23.50,24.00,24.50,24.00,24.00,24.75","24.50,24.75,24.25,24.00,24.50,24.75,24.00,23.75,25.00,25.50,25.75,25.75,26.25,27.25,26.25,26.00","26.00,27.75,26.50,25.75,26.50,28.25,26.00,25.00,25.00,27.50,25.00,24.50,24.50,28.00,25.75,25.50","24.25,24.50,24.25,24.00,23.75,25.25,25.00,24.50,24.50,24.25,24.75,24.00,24.00,23.75,24.50,24.75",2
2022-09-15T13:25:44+05:30,1321,1,29,"23.25,23.50,23.75,24.00,24.50,24.25,24.25,23.75,23.75,23.50,23.75,24.00,24.25,24.25,24.25,24.75","24.25,24.50,24.00,24.25,24.00,24.75,24.75,24.25,24.75,25.75,25.75,24.50,25.00,27.00,27.25,26.50","25.50,27.25,27.25,24.25,24.75,27.00,27.25,27.50,25.50,27.75,26.75,23.75,24.75,27.25,28.00,27.25","24.25,25.25,25.50,24.50,27.00,27.75,27.75,26.75,24.50,23.75,24.50,24.25,25.00,27.25,28.00,26.75",2
2022-09-15T13:26:17+05:30,1322,1,29,"23.50,23.25,24.00,24.00,24.00,24.25,24.50,23.25,23.75,24.00,24.00,23.50,24.00,24.25,23.75,23.50","24.50,24.75,25.25,24.25,24.00,25.00,24.50,24.25,25.25,25.75,26.75,25.25,25.00,27.25,26.00,25.25","25.25,27.25,27.25,26.25,24.25,26.75,26.75,25.25,24.75,25.75,28.25,25.25,24.00,26.25,26.50,25.50","24.50,24.50,26.50,23.75,24.25,25.25,26.75,25.50,24.50,23.50,24.75,24.75,24.25,24.00,26.50,25.25",2
2022-09-15T13:26:51+05:30,1323,1,29,"24.50,24.00,24.00,23.75,24.00,24.00,24.25,23.25,24.00,24.50,24.00,24.25,24.00,23.75,24.00,24.00","24.75,24.75,25.50,24.50,24.75,24.50,24.75,24.25,25.00,26.25,26.50,26.25,24.75,27.00,26.25,26.00","24.50,27.50,27.25,26.00,24.50,25.00,26.25,26.50,25.00,25.75,28.00,25.00,24.00,23.75,25.00,26.25","24.25,24.50,26.50,24.50,23.75,24.00,27.00,25.00,25.00,24.00,24.25,24.00,24.00,23.75,25.25,24.75",2
2022-09-15T13:27:25+05:30,1324,1,29,"24.25,23.75,23.75,23.75,23.75,24.50,24.25,23.25,24.00,24.00,23.50,23.75,23.75,23.75,24.25,24.50","24.50,24.25,25.00,24.50,24.25,25.00,24.75,24.25,25.00,25.75,26.50,25.50,25.25,26.75,26.25,26.00","24.75,27.00,27.00,26.00,24.00,25.50,26.50,25.75,24.25,25.50,28.00,24.25,23.75,25.50,26.25,25.50","24.75,25.00,25.50,23.75,24.25,25.50,26.50,24.75,23.75,24.25,24.25,24.00,24.00,27.00,25.25,24.50",2
2022-09-15T13:27:58+05:30,1325,1,29,"24.00,23.50,24.25,24.00,23.50,24.25,24.00,23.25,24.25,24.00,24.25,23.75,23.75,23.75,24.25,24.00","24.25,24.50,25.00,24.00,24.75,24.75,24.50,23.75,25.00,25.75,26.25,26.00,24.75,26.75,26.50,25.75","25.00,26.75,27.00,26.00,23.75,24.50,26.25,26.00,24.50,25.50,28.00,24.75,23.75,24.50,27.00,25.75","24.75,24.75,25.50,24.25,23.75,24.25,26.50,25.50,24.25,24.00,24.75,24.00,24.25,24.50,26.00,24.75",2
2022-09-15T13:28:32+05:30,1326,1,29,"24.00,24.00,23.75,24.25,24.00,23.75,23.75,23.25,24.00,23.50,23.50,23.50,23.50,23.50,23.75,24.25","24.50,23.75,24.00,24.00,24.25,24.75,25.00,24.25,24.75,24.75,25.25,25.25,25.00,27.00,26.50,24.75","24.00,24.25,24.00,23.75,24.00,26.25,25.25,24.75,25.00,23.75,24.00,23.75,24.50,25.50,26.00,25.25","24.75,24.50,23.75,23.75,23.75,24.75,25.25,25.50,24.25,23.50,24.00,24.00,24.00,24.00,24.50,24.25",2
2022-09-15T13:29:06+05:30,1327,1,29,"23.50,23.50,23.75,23.75,23.50,24.25,24.00,23.50,23.25,23.75,23.50,23.50,23.50,23.25,23.50,23.75","23.75,23.75,24.00,24.25,24.25,24.00,24.50,24.25,24.50,25.25,25.25,24.75,24.25,26.75,25.75,25.00","24.00,23.75,23.75,24.00,23.75,25.75,25.75,24.75,24.00,23.50,23.75,23.25,23.50,25.25,25.75,25.00","23.75,24.00,23.25,23.50,23.25,24.50,26.00,24.50,23.50,23.50,24.50,23.00,23.50,23.50,24.00,24.25",2
2022-09-15T13:29:39+05:30,1328,1,29,"24.00,24.00,24.25,24.00,24.25,23.75,24.25,23.25,24.00,24.25,24.25,24.25,24.00,23.50,24.00,23.75","24.25,23.75,25.25,25.25,24.50,24.50,24.25,24.00,24.50,25.25,27.50,26.75,26.25,26.75,25.50,24.75","24.25,24.75,27.00,26.50,25.25,24.75,24.50,25.25,24.00,24.75,26.50,26.25,24.75,24.50,25.00,24.75","24.25,24.50,26.00,26.50,24.25,23.75,24.00,24.25,23.75,24.25,25.50,27.25,24.00,24.00,24.25,24.25",2
2022-09-15T13:30:13+05:30,1329,1,29,"24.00,23.75,24.00,24.00,23.75,23.75,24.00,23.00,24.25,24.25,23.50,24.00,23.75,24.00,24.50,24.25","24.50,24.00,24.50,24.50,24.50,25.25,24.75,24.00,24.75,25.50,25.50,25.00,25.25,27.25,26.00,25.00","25.00,25.00,23.75,24.00,24.25,27.00,26.50,25.00,24.50,24.25,24.00,23.75,24.00,25.75,26.75,25.00","24.75,24.00,24.00,24.00,23.25,24.00,24.75,24.50,24.25,23.50,24.00,24.00,23.75,24.25,24.25,24.50",2
